image_path,image_name,timestamp,sensor,state,Ahmedabad_rainfall_mm,Amreli_rainfall_mm,Anand_rainfall_mm,Aravalli_rainfall_mm,Banaskantha_rainfall_mm,Bharuch_rainfall_mm,Bhavnagar_rainfall_mm,Botad_rainfall_mm,Chhota Udepur_rainfall_mm,Dahod_rainfall_mm,Dang_rainfall_mm,Devbhumi Dwarka_rainfall_mm,Gandhinagar_rainfall_mm,Gir Somnath_rainfall_mm,Jamnagar_rainfall_mm,Junagadh_rainfall_mm,Kheda_rainfall_mm,Kutch (Bhuj)_rainfall_mm,Mahisagar_rainfall_mm,Mehsana_rainfall_mm,Morbi_rainfall_mm,Narmada_rainfall_mm,Navsari_rainfall_mm,Panchmahal_rainfall_mm,Patan_rainfall_mm,Porbandar_rainfall_mm,Rajkot_rainfall_mm,Sabarkantha_rainfall_mm,Surat_rainfall_mm,Surendranagar_rainfall_mm,Tapi_rainfall_mm,Vadodara_rainfall_mm,Valsad_rainfall_mm,avg_gujarat_rainfall_mm,max_gujarat_rainfall_mm
INSAT3D_TIR1_India/3DIMG_07NOV2019_0500_L1C_SGP.tif,3DIMG_07NOV2019_0500_L1C_SGP.tif,2019-11-07 05:00:00,INSAT3D_TIR1_India,Gujarat,13.11,0.73,15.24,0.0,29.22,13.46,11.83,0.3,7.3,2.58,27.28,34.31,1.23,23.07,35.59,20.07,2.25,37.58,1.58,3.96,36.88,10.29,7.42,1.86,30.16,35.25,32.84,7.63,10.55,29.95,10.34,9.63,12.51,15.64,37.58
INSAT3D_TIR1_India/3DIMG_07NOV2019_0530_L1C_SGP.tif,3DIMG_07NOV2019_0530_L1C_SGP.tif,2019-11-07 05:30:00,INSAT3D_TIR1_India,Gujarat,20.06,21.93,7.41,10.27,36.33,16.61,0.06,0.3,9.78,10.88,16.14,35.49,8.18,27.91,36.02,19.95,4.54,39.42,7.77,26.89,38.51,10.38,17.86,9.06,35.66,38.83,36.11,4.94,15.33,33.64,1.72,11.25,2.39,18.53,39.42
INSAT3D_TIR1_India/3DIMG_07NOV2019_0600_L1C_SGP.tif,3DIMG_07NOV2019_0600_L1C_SGP.tif,2019-11-07 06:00:00,INSAT3D_TIR1_India,Gujarat,4.59,15.63,13.44,8.48,37.65,10.21,0.06,12.4,9.33,13.2,11.24,37.54,7.78,23.11,37.04,23.67,2.35,40.85,10.57,27.33,38.83,11.89,0.24,12.09,36.81,37.46,29.68,7.59,0.21,27.4,15.34,11.93,2.39,17.53,40.85
INSAT3D_TIR1_India/3DIMG_07NOV2019_0630_L1C_SGP.tif,3DIMG_07NOV2019_0630_L1C_SGP.tif,2019-11-07 06:30:00,INSAT3D_TIR1_India,Gujarat,10.99,17.07,12.44,9.53,37.35,21.48,0.06,27.7,12.27,11.53,0.0,36.89,12.78,20.16,36.54,28.02,9.44,40.57,11.32,24.41,38.78,9.78,0.11,14.44,35.21,37.75,27.48,5.83,6.8,35.8,7.22,9.07,2.39,18.52,40.57
INSAT3D_TIR1_India/3DIMG_07NOV2019_0700_L1C_SGP.tif,3DIMG_07NOV2019_0700_L1C_SGP.tif,2019-11-07 07:00:00,INSAT3D_TIR1_India,Gujarat,9.98,15.03,1.06,4.4,35.73,15.24,0.06,15.64,9.63,11.48,8.33,34.98,13.48,21.47,36.8,24.47,2.02,41.53,7.87,23.48,38.73,17.23,1.09,9.96,33.56,37.5,28.53,16.59,0.21,29.74,6.39,0.0,4.76,16.88,41.53
INSAT3D_TIR1_India/3DIMG_07NOV2019_0730_L1C_SGP.tif,3DIMG_07NOV2019_0730_L1C_SGP.tif,2019-11-07 07:30:00,INSAT3D_TIR1_India,Gujarat,25.78,16.08,1.06,7.28,30.6,5.98,6.68,21.72,10.75,13.43,13.88,31.79,21.41,22.24,36.12,27.54,8.92,40.63,2.42,28.26,38.78,16.86,0.11,0.0,30.74,36.9,27.13,10.26,0.21,30.1,16.17,0.0,23.83,18.29,40.63
INSAT3D_TIR1_India/3DIMG_07NOV2019_0800_L1C_SGP.tif,3DIMG_07NOV2019_0800_L1C_SGP.tif,2019-11-07 08:00:00,INSAT3D_TIR1_India,Gujarat,23.89,15.03,15.39,8.8,29.7,3.86,11.06,18.22,9.83,13.43,13.28,32.54,21.88,24.21,36.94,29.55,20.12,37.85,0.0,24.53,39.78,21.91,0.11,0.0,24.89,37.33,27.91,18.94,0.21,36.25,5.99,0.0,11.48,18.63,39.78
INSAT3D_TIR1_India/3DIMG_07NOV2019_0830_L1C_SGP.tif,3DIMG_07NOV2019_0830_L1C_SGP.tif,2019-11-07 08:30:00,INSAT3D_TIR1_India,Gujarat,31.34,2.43,14.14,10.07,28.42,2.76,6.74,23.47,9.95,8.27,25.74,33.91,24.89,24.76,37.15,27.09,20.19,37.92,0.0,26.74,38.69,11.34,0.11,6.36,25.44,33.66,34.19,20.99,0.21,36.85,0.89,15.22,5.16,18.94,38.69
INSAT3D_TIR1_India/3DIMG_07NOV2019_0859_L1C_SGP.tif,3DIMG_07NOV2019_0859_L1C_SGP.tif,2019-11-07 08:59:00,INSAT3D_TIR1_India,Gujarat,29.16,9.02,21.19,14.25,25.92,2.76,0.06,13.67,6.15,7.98,15.26,35.73,24.41,24.42,37.15,25.65,22.84,37.1,24.27,26.46,38.31,20.58,0.11,12.22,28.39,33.16,32.21,19.96,0.21,36.07,0.0,9.92,2.39,19.3,38.31
INSAT3D_TIR1_India/3DIMG_07NOV2019_0900_L1C_SGP.tif,3DIMG_07NOV2019_0900_L1C_SGP.tif,2019-11-07 09:00:00,INSAT3D_TIR1_India,Gujarat,29.16,9.02,21.19,14.25,25.92,2.76,0.06,13.67,6.15,7.98,15.26,35.73,24.41,24.42,37.15,25.65,22.84,37.1,24.27,26.46,38.31,20.58,0.11,12.22,28.39,33.16,32.21,19.96,0.21,36.07,0.0,9.92,2.39,19.3,38.31
INSAT3D_TIR1_India/3DIMG_07NOV2019_0929_L1C_SGP.tif,3DIMG_07NOV2019_0929_L1C_SGP.tif,2019-11-07 09:29:00,INSAT3D_TIR1_India,Gujarat,29.34,15.82,27.47,16.07,34.6,6.01,11.36,10.14,16.23,14.97,16.19,36.29,29.66,26.07,37.22,24.65,21.07,38.98,17.88,23.76,37.54,3.24,0.11,7.62,33.54,33.06,31.69,20.78,0.21,36.19,0.0,14.35,2.39,20.44,38.98
INSAT3D_TIR1_India/3DIMG_07NOV2019_0930_L1C_SGP.tif,3DIMG_07NOV2019_0930_L1C_SGP.tif,2019-11-07 09:30:00,INSAT3D_TIR1_India,Gujarat,28.89,15.98,26.69,16.35,34.55,4.26,11.48,10.54,18.93,14.95,19.51,35.54,30.19,26.19,37.17,23.97,23.15,36.75,19.45,25.24,35.06,2.01,0.11,5.41,32.87,33.55,31.29,20.93,0.21,36.4,0.0,12.78,2.39,20.39,37.17
INSAT3D_TIR1_India/3DIMG_07NOV2019_0959_L1C_SGP.tif,3DIMG_07NOV2019_0959_L1C_SGP.tif,2019-11-07 09:59:00,INSAT3D_TIR1_India,Gujarat,26.03,16.75,1.06,15.67,35.17,2.76,9.99,14.8,17.32,14.2,19.86,35.24,29.59,23.52,36.7,24.02,2.02,38.08,13.92,19.03,36.16,0.16,0.11,9.96,33.61,29.6,29.39,16.89,0.21,35.15,0.0,20.38,14.24,18.84,38.08
INSAT3D_TIR1_India/3DIMG_07NOV2019_1000_L1C_SGP.tif,3DIMG_07NOV2019_1000_L1C_SGP.tif,2019-11-07 10:00:00,INSAT3D_TIR1_India,Gujarat,25.68,16.78,1.06,15.67,35.22,2.76,9.63,14.4,17.32,14.2,18.39,35.24,29.24,23.29,36.74,24.02,2.02,37.15,13.92,16.89,36.16,0.16,0.11,9.96,33.12,29.6,29.39,16.89,0.21,35.24,0.0,20.38,14.24,18.64,37.15
INSAT3D_TIR1_India/3DIMG_07NOV2019_1030_L1C_SGP.tif,3DIMG_07NOV2019_1030_L1C_SGP.tif,2019-11-07 10:30:00,INSAT3D_TIR1_India,Gujarat,20.36,18.03,14.92,3.92,34.98,2.76,6.96,13.8,6.73,13.68,16.09,34.99,21.58,23.32,35.77,28.74,23.19,36.88,14.1,24.18,35.28,17.56,0.11,18.66,32.31,29.95,30.19,19.41,0.21,32.92,0.0,14.28,6.76,19.17,36.88
INSAT3D_TIR1_India/3DIMG_07NOV2019_1100_L1C_SGP.tif,3DIMG_07NOV2019_1100_L1C_SGP.tif,2019-11-07 11:00:00,INSAT3D_TIR1_India,Gujarat,23.61,17.2,31.22,13.38,33.32,2.76,11.91,15.27,16.25,14.95,22.13,33.86,18.79,26.01,35.3,35.09,32.79,35.88,12.47,26.31,35.04,9.71,0.11,23.62,31.52,33.95,29.86,17.83,0.21,29.49,0.0,5.92,2.39,20.55,35.88
INSAT3D_TIR1_India/3DIMG_07NOV2019_1130_L1C_SGP.tif,3DIMG_07NOV2019_1130_L1C_SGP.tif,2019-11-07 11:30:00,INSAT3D_TIR1_India,Gujarat,24.63,19.93,28.92,15.42,33.37,2.76,13.53,15.67,17.95,20.12,18.83,33.09,18.49,26.39,34.69,34.64,30.3,35.39,16.55,28.73,31.18,0.0,0.11,28.02,29.92,32.51,29.38,17.04,0.21,28.99,4.99,0.0,15.81,20.84,35.39
INSAT3D_TIR1_India/3DIMG_07NOV2019_1200_L1C_SGP.tif,3DIMG_07NOV2019_1200_L1C_SGP.tif,2019-11-07 12:00:00,INSAT3D_TIR1_India,Gujarat,26.84,17.92,11.07,14.68,32.47,2.76,13.83,16.62,15.17,28.53,20.18,31.49,19.04,26.49,33.19,34.14,15.39,33.74,17.15,29.11,31.93,0.0,27.72,24.32,29.99,30.75,26.21,17.69,17.05,31.85,4.12,5.73,26.91,21.64,34.14
INSAT3D_TIR1_India/3DIMG_07NOV2019_1230_L1C_SGP.tif,3DIMG_07NOV2019_1230_L1C_SGP.tif,2019-11-07 12:30:00,INSAT3D_TIR1_India,Gujarat,25.98,20.93,12.24,14.33,31.33,8.28,22.43,20.4,16.25,24.78,22.86,30.53,26.63,23.44,32.8,33.95,15.0,32.57,16.77,28.16,32.76,1.08,24.07,27.99,29.64,32.98,29.96,19.91,21.81,32.7,8.92,9.78,29.34,23.05,33.95
INSAT3D_TIR1_India/3DIMG_07NOV2019_1300_L1C_SGP.tif,3DIMG_07NOV2019_1300_L1C_SGP.tif,2019-11-07 13:00:00,INSAT3D_TIR1_India,Gujarat,24.11,20.03,12.34,14.75,30.38,2.76,24.41,21.67,16.5,16.7,27.71,30.01,30.81,22.04,31.69,33.37,14.6,32.43,23.38,27.86,33.04,8.48,21.04,24.12,28.92,33.23,29.69,26.94,17.8,33.62,23.6,14.57,27.76,23.65,33.62
INSAT3D_TIR1_India/3DIMG_07NOV2019_1330_L1C_SGP.tif,3DIMG_07NOV2019_1330_L1C_SGP.tif,2019-11-07 13:30:00,INSAT3D_TIR1_India,Gujarat,28.93,22.25,11.07,21.13,29.63,2.76,21.06,22.97,23.42,26.52,28.09,29.68,30.11,23.26,31.25,33.29,14.72,31.55,19.97,27.33,32.08,0.0,17.72,23.34,23.59,33.21,29.66,28.06,22.88,33.24,26.94,16.28,31.94,24.18,33.29
INSAT3D_TIR1_India/3DIMG_07NOV2019_1400_L1C_SGP.tif,3DIMG_07NOV2019_1400_L1C_SGP.tif,2019-11-07 14:00:00,INSAT3D_TIR1_India,Gujarat,26.04,23.75,13.34,27.43,29.97,2.76,22.91,20.72,17.67,24.92,26.58,29.08,30.71,24.24,31.15,33.54,13.4,30.77,23.7,27.16,32.11,0.0,23.92,13.54,19.41,32.86,29.56,29.31,26.63,33.57,26.17,10.3,29.59,23.84,33.57
INSAT3D_TIR1_India/3DIMG_07NOV2019_1430_L1C_SGP.tif,3DIMG_07NOV2019_1430_L1C_SGP.tif,2019-11-07 14:30:00,INSAT3D_TIR1_India,Gujarat,20.46,23.83,14.99,26.93,29.82,22.39,21.88,25.85,12.4,18.83,22.68,28.63,30.93,28.47,30.17,33.37,16.29,30.93,23.85,27.16,31.79,0.0,23.51,10.72,18.61,33.6,29.44,28.94,24.58,33.74,24.07,11.5,31.79,24.0,33.74
INSAT3D_TIR1_India/3DIMG_07NOV2019_1500_L1C_SGP.tif,3DIMG_07NOV2019_1500_L1C_SGP.tif,2019-11-07 15:00:00,INSAT3D_TIR1_India,Gujarat,24.13,24.63,15.34,26.72,30.05,18.19,20.93,24.75,7.25,12.02,25.93,28.61,30.11,29.89,29.84,33.09,17.42,30.14,16.27,27.06,30.83,5.74,23.77,9.77,18.72,33.91,29.34,29.28,25.91,33.14,27.39,11.7,33.28,23.79,33.91
INSAT3D_TIR1_India/3DIMG_07NOV2019_1530_L1C_SGP.tif,3DIMG_07NOV2019_1530_L1C_SGP.tif,2019-11-07 15:30:00,INSAT3D_TIR1_India,Gujarat,22.71,21.72,16.59,26.4,29.05,2.76,16.13,23.1,13.77,11.23,27.08,28.23,27.31,25.79,29.42,32.89,18.49,29.8,10.3,26.33,31.19,23.89,24.87,10.96,17.61,33.66,28.74,28.68,27.08,33.25,27.59,12.77,32.68,23.4,33.66
INSAT3D_TIR1_India/3DIMG_07NOV2019_1600_L1C_SGP.tif,3DIMG_07NOV2019_1600_L1C_SGP.tif,2019-11-07 16:00:00,INSAT3D_TIR1_India,Gujarat,18.08,22.3,4.52,20.52,23.37,2.76,13.84,22.89,18.97,11.73,26.31,27.63,23.78,27.54,27.94,32.57,15.3,29.25,10.78,26.14,27.76,19.53,26.02,12.91,17.64,33.6,28.49,28.09,25.81,32.95,26.74,0.0,30.28,21.7,33.6
INSAT3D_TIR1_India/3DIMG_07NOV2019_1630_L1C_SGP.tif,3DIMG_07NOV2019_1630_L1C_SGP.tif,2019-11-07 16:30:00,INSAT3D_TIR1_India,Gujarat,16.23,22.32,11.71,14.45,18.62,8.53,13.31,22.25,10.68,12.02,26.63,27.16,22.01,27.39,27.47,32.59,17.49,28.27,10.73,25.23,25.59,14.43,25.92,7.87,20.17,32.76,27.59,27.53,27.56,31.95,22.02,10.75,24.91,21.03,32.76
INSAT3D_TIR1_India/3DIMG_07NOV2019_2000_L1C_SGP.tif,3DIMG_07NOV2019_2000_L1C_SGP.tif,2019-11-07 20:00:00,INSAT3D_TIR1_India,Gujarat,22.23,26.2,12.64,13.97,20.52,2.76,14.38,25.44,13.87,10.83,21.03,23.14,25.91,29.41,25.5,28.37,12.9,23.32,9.08,20.69,24.53,18.91,0.11,8.66,18.94,29.15,22.86,23.94,0.21,28.12,9.25,3.8,16.13,17.78,29.41
INSAT3D_TIR1_India/3DIMG_07NOV2019_2030_L1C_SGP.tif,3DIMG_07NOV2019_2030_L1C_SGP.tif,2019-11-07 20:30:00,INSAT3D_TIR1_India,Gujarat,24.88,26.48,10.96,15.95,22.65,2.76,14.89,22.84,13.4,9.78,22.51,22.64,25.56,28.42,25.34,28.02,14.57,23.54,9.25,22.18,22.11,11.26,0.11,9.39,19.49,28.26,23.73,24.16,0.21,28.59,0.0,0.75,18.74,17.38,28.59
INSAT3D_TIR1_India/3DIMG_07NOV2019_2100_L1C_SGP.tif,3DIMG_07NOV2019_2100_L1C_SGP.tif,2019-11-07 21:00:00,INSAT3D_TIR1_India,Gujarat,20.71,26.05,10.14,13.55,23.12,2.76,12.23,25.62,20.35,10.75,22.28,22.64,23.44,29.14,24.72,27.74,12.22,23.37,3.43,21.43,23.39,0.0,0.11,7.31,23.66,29.1,23.29,23.84,0.21,28.04,0.0,5.3,18.98,16.94,29.14
INSAT3D_TIR1_India/3DIMG_07NOV2019_2130_L1C_SGP.tif,3DIMG_07NOV2019_2130_L1C_SGP.tif,2019-11-07 21:30:00,INSAT3D_TIR1_India,Gujarat,16.51,25.65,9.47,9.5,24.53,2.76,14.98,24.79,15.27,12.57,12.18,22.64,21.36,29.69,25.34,28.6,13.49,23.13,9.58,22.28,26.21,11.71,0.11,7.57,23.69,30.08,23.29,23.54,0.21,27.6,0.0,9.1,19.31,17.17,30.08
INSAT3D_TIR1_India/3DIMG_07NOV2019_2200_L1C_SGP.tif,3DIMG_07NOV2019_2200_L1C_SGP.tif,2019-11-07 22:00:00,INSAT3D_TIR1_India,Gujarat,14.14,26.3,12.16,9.88,24.3,2.76,16.99,20.45,13.88,14.2,13.24,22.64,17.28,29.47,25.14,28.52,13.44,22.38,9.33,22.84,26.01,12.18,0.11,8.66,23.96,29.33,23.59,22.76,0.21,28.29,0.0,0.0,4.46,16.33,29.47
INSAT3D_TIR1_India/3DIMG_07NOV2019_2230_L1C_SGP.tif,3DIMG_07NOV2019_2230_L1C_SGP.tif,2019-11-07 22:30:00,INSAT3D_TIR1_India,Gujarat,15.34,26.67,12.57,10.2,24.18,2.76,19.63,24.12,19.55,12.62,10.64,22.86,19.71,30.26,25.09,28.92,14.1,23.32,8.55,22.93,25.93,2.86,0.11,5.77,24.21,30.68,23.53,23.74,0.21,28.65,0.0,0.0,2.39,16.43,30.68
INSAT3D_TIR1_India/3DIMG_07NOV2019_2300_L1C_SGP.tif,3DIMG_07NOV2019_2300_L1C_SGP.tif,2019-11-07 23:00:00,INSAT3D_TIR1_India,Gujarat,19.73,27.05,13.02,13.08,22.93,13.26,19.13,23.85,18.53,13.4,0.0,23.61,24.33,29.32,25.57,28.79,14.0,22.82,5.7,21.16,26.03,3.96,0.11,6.34,24.49,28.78,24.34,24.38,0.21,29.34,1.4,2.08,13.79,17.11,29.34
INSAT3D_TIR1_India/3DIMG_07NOV2019_2330_L1C_SGP.tif,3DIMG_07NOV2019_2330_L1C_SGP.tif,2019-11-07 23:30:00,INSAT3D_TIR1_India,Gujarat,24.94,27.27,14.57,16.75,25.12,20.13,17.74,25.29,14.08,13.05,11.81,23.51,25.36,29.82,26.05,29.5,15.4,23.3,5.87,23.88,25.43,14.11,6.47,10.41,22.02,29.83,24.58,25.43,9.41,29.5,5.62,11.03,19.91,19.61,29.83
INSAT3D_VIS_India/3DIMG_07NOV2019_0000_L1C_SGP_vis.tif,3DIMG_07NOV2019_0000_L1C_SGP_vis.tif,2019-11-07 00:00:00,INSAT3D_VIS_India,Gujarat,4.0,5.0,4.9,3.9,0.0,0.0,2.6,1.6,0.0,3.2,0.0,2.8,2.6,4.0,3.1,1.3,3.3,2.9,1.2,3.7,0.3,0.0,4.8,0.0,3.6,4.9,2.8,0.0,2.5,0.5,3.7,0.0,0.0,2.22,5.0
INSAT3D_VIS_India/3DIMG_07NOV2019_0030_L1C_SGP_vis.tif,3DIMG_07NOV2019_0030_L1C_SGP_vis.tif,2019-11-07 00:30:00,INSAT3D_VIS_India,Gujarat,0.0,4.6,4.4,0.0,0.0,0.4,0.3,0.0,5.9,0.3,0.0,3.4,4.1,0.0,4.3,2.4,3.9,0.0,3.3,1.6,2.6,0.1,3.3,0.7,2.2,2.7,0.0,0.0,2.2,0.7,2.0,0.0,3.7,1.79,5.9
INSAT3D_VIS_India/3DIMG_07NOV2019_0100_L1C_SGP_vis.tif,3DIMG_07NOV2019_0100_L1C_SGP_vis.tif,2019-11-07 01:00:00,INSAT3D_VIS_India,Gujarat,2.7,2.4,0.0,0.0,1.2,0.0,2.7,0.0,0.0,0.0,5.6,2.0,5.5,0.7,1.9,3.9,0.0,0.0,3.6,3.8,0.0,4.4,0.0,0.0,1.8,0.1,0.0,0.0,0.2,0.7,0.0,0.0,3.0,1.4,5.6
INSAT3D_VIS_India/3DIMG_07NOV2019_0130_L1C_SGP_vis.tif,3DIMG_07NOV2019_0130_L1C_SGP_vis.tif,2019-11-07 01:30:00,INSAT3D_VIS_India,Gujarat,1.49,5.9,1.39,0.0,0.0,4.1,0.7,0.0,2.68,2.97,1.8,0.0,1.46,0.41,3.0,3.9,3.1,0.0,1.48,0.2,0.0,1.34,2.18,0.24,3.8,5.1,4.0,0.85,1.58,0.0,0.0,0.79,3.73,1.76,5.9
INSAT3D_VIS_India/3DIMG_07NOV2019_0200_L1C_SGP_vis.tif,3DIMG_07NOV2019_0200_L1C_SGP_vis.tif,2019-11-07 02:00:00,INSAT3D_VIS_India,Gujarat,4.07,3.77,4.47,4.44,1.05,6.83,3.82,2.91,3.13,3.23,1.5,0.0,3.0,4.95,0.0,3.88,6.15,4.9,2.36,0.0,0.6,3.45,10.39,5.12,5.0,0.0,0.0,2.45,5.77,2.5,6.28,2.4,6.42,3.48,10.39
INSAT3D_VIS_India/3DIMG_07NOV2019_0230_L1C_SGP_vis.tif,3DIMG_07NOV2019_0230_L1C_SGP_vis.tif,2019-11-07 02:30:00,INSAT3D_VIS_India,Gujarat,7.23,9.57,9.34,8.01,1.95,10.63,8.77,4.51,6.68,3.73,4.11,0.0,7.36,6.58,0.38,5.07,11.8,0.36,6.39,0.44,2.59,6.2,15.54,6.04,1.46,0.44,0.0,4.81,14.68,5.68,9.02,9.84,15.22,6.19,15.54
INSAT3D_VIS_India/3DIMG_07NOV2019_0300_L1C_SGP_vis.tif,3DIMG_07NOV2019_0300_L1C_SGP_vis.tif,2019-11-07 03:00:00,INSAT3D_VIS_India,Gujarat,9.61,13.77,11.41,14.97,3.84,10.57,14.78,8.43,16.24,5.99,7.03,0.0,9.38,7.97,1.2,8.06,13.6,1.23,7.72,0.85,2.11,14.64,18.05,4.54,2.31,1.74,0.74,12.82,18.56,6.54,11.54,20.21,20.76,9.13,20.76
INSAT3D_VIS_India/3DIMG_07NOV2019_0330_L1C_SGP_vis.tif,3DIMG_07NOV2019_0330_L1C_SGP_vis.tif,2019-11-07 03:30:00,INSAT3D_VIS_India,Gujarat,6.38,14.88,24.86,12.84,5.73,11.95,18.59,14.32,21.05,6.17,7.45,1.37,14.96,6.97,1.94,9.46,17.56,2.45,18.65,7.14,3.17,15.37,22.05,5.88,2.52,2.45,1.41,15.93,20.21,6.6,15.67,19.75,11.74,11.14,24.86
