image,image_path,state,location,latitude,longitude,rainfall_mm
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Porbandar,21.6417,69.6293,29.66
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Rajkot,22.3039,70.8022,4.01
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Sabarkantha,23.5977,72.9688,5.73
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Surat,21.1702,72.8311,6.75
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Surendranagar,22.7274,71.637,2.27
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Tapi,21.1147,73.3986,0.0
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Vadodara,22.3072,73.1812,7.75
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Valsad,20.5992,72.9342,9.21
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Ahmedabad,23.0225,72.5714,7.88
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Amreli,21.6032,71.2221,0.73
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Anand,22.5645,72.9289,11.02
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Aravalli,23.4619,73.3039,3.35
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Banaskantha,24.1724,72.4346,12.07
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Bharuch,21.7051,72.9959,5.41
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Bhavnagar,21.7645,72.1519,0.06
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Botad,22.1704,71.6662,0.3
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Chhota Udepur,22.3108,74.0125,19.88
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Dahod,22.8347,74.2552,16.23
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Dang,20.7554,73.6873,7.69
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Devbhumi Dwarka,22.2078,69.6582,15.29
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Gandhinagar,23.2156,72.6369,7.24
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Gir Somnath,20.9042,70.3644,0.37
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Jamnagar,22.4707,70.0577,14.69
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Junagadh,21.5222,70.4579,11.67
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Kheda,22.6916,72.8634,6.47
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Kutch (Bhuj),23.242,69.6669,26.37
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Mahisagar,23.1311,73.6009,5.78
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Mehsana,23.588,72.3693,4.66
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Morbi,22.8173,70.8368,20.23
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Narmada,21.8719,73.5028,0.0
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Navsari,20.9467,72.952,7.42
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Panchmahal,22.778,73.6143,20.97
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Patan,23.8493,72.1266,12.94
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Porbandar,21.6417,69.6293,29.68
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Rajkot,22.3039,70.8022,5.19
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Sabarkantha,23.5977,72.9688,3.13
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Surat,21.1702,72.8311,8.26
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Surendranagar,22.7274,71.637,5.97
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Tapi,21.1147,73.3986,0.0
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Vadodara,22.3072,73.1812,12.6
3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,Gujarat,Valsad,20.5992,72.9342,16.56
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Ahmedabad,23.0225,72.5714,4.63
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Amreli,21.6032,71.2221,0.73
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Anand,22.5645,72.9289,6.32
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Aravalli,23.4619,73.3039,3.07
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Banaskantha,24.1724,72.4346,14.0
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Bharuch,21.7051,72.9959,5.74
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Bhavnagar,21.7645,72.1519,0.06
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Botad,22.1704,71.6662,0.3
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Chhota Udepur,22.3108,74.0125,7.12
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Dahod,22.8347,74.2552,24.95
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Dang,20.7554,73.6873,9.36
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Devbhumi Dwarka,22.2078,69.6582,20.36
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Gandhinagar,23.2156,72.6369,6.48
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Gir Somnath,20.9042,70.3644,0.37
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Jamnagar,22.4707,70.0577,19.7
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Junagadh,21.5222,70.4579,2.44
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Kheda,22.6916,72.8634,6.14
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Kutch (Bhuj),23.242,69.6669,26.8
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Mahisagar,23.1311,73.6009,8.72
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Mehsana,23.588,72.3693,1.96
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Morbi,22.8173,70.8368,25.26
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Narmada,21.8719,73.5028,0.0
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Navsari,20.9467,72.952,17.44
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Panchmahal,22.778,73.6143,14.54
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Patan,23.8493,72.1266,14.11
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Porbandar,21.6417,69.6293,31.06
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Rajkot,22.3039,70.8022,11.98
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Sabarkantha,23.5977,72.9688,7.26
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Surat,21.1702,72.8311,6.71
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Surendranagar,22.7274,71.637,5.04
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Tapi,21.1147,73.3986,3.95
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Vadodara,22.3072,73.1812,14.8
3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,Gujarat,Valsad,20.5992,72.9342,17.81
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Ahmedabad,23.0225,72.5714,1.36
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Amreli,21.6032,71.2221,0.73
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Anand,22.5645,72.9289,6.81
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Aravalli,23.4619,73.3039,4.22
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Banaskantha,24.1724,72.4346,25.77
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Bharuch,21.7051,72.9959,3.46
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Bhavnagar,21.7645,72.1519,0.06
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Botad,22.1704,71.6662,0.3
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Chhota Udepur,22.3108,74.0125,0.0
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Dahod,22.8347,74.2552,26.2
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Dang,20.7554,73.6873,7.98
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Devbhumi Dwarka,22.2078,69.6582,24.88
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Gandhinagar,23.2156,72.6369,0.73
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Gir Somnath,20.9042,70.3644,0.37
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Jamnagar,22.4707,70.0577,24.67
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Junagadh,21.5222,70.4579,2.44
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Kheda,22.6916,72.8634,5.54
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Kutch (Bhuj),23.242,69.6669,27.4
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Mahisagar,23.1311,73.6009,6.9
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Mehsana,23.588,72.3693,3.74
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Morbi,22.8173,70.8368,25.18
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Narmada,21.8719,73.5028,0.0
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Navsari,20.9467,72.952,7.94
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Panchmahal,22.778,73.6143,18.27
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Patan,23.8493,72.1266,13.01
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Porbandar,21.6417,69.6293,31.43
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Rajkot,22.3039,70.8022,17.54
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Sabarkantha,23.5977,72.9688,3.18
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Surat,21.1702,72.8311,1.26
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Surendranagar,22.7274,71.637,10.85
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Tapi,21.1147,73.3986,14.52
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Vadodara,22.3072,73.1812,1.65
3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,Gujarat,Valsad,20.5992,72.9342,17.98
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Ahmedabad,23.0225,72.5714,1.79
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Amreli,21.6032,71.2221,0.73
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Anand,22.5645,72.9289,7.49
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Aravalli,23.4619,73.3039,0.0
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Banaskantha,24.1724,72.4346,27.32
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Bharuch,21.7051,72.9959,4.08
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Bhavnagar,21.7645,72.1519,0.06
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Botad,22.1704,71.6662,0.3
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Chhota Udepur,22.3108,74.0125,0.0
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Dahod,22.8347,74.2552,27.27
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Dang,20.7554,73.6873,15.33
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Devbhumi Dwarka,22.2078,69.6582,26.61
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Gandhinagar,23.2156,72.6369,3.34
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Gir Somnath,20.9042,70.3644,0.37
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Jamnagar,22.4707,70.0577,28.24
3DIMG_07NOV2019_0200_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,Gujarat,Junagadh,21.5222,70.4579,2.44
