image_path,image_name,sensor,timestamp,state,district,latitude,longitude,pixel_value,rainfall_mm,rainfall_category
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Dang,20.7554,73.6873,685.89,9.99,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Devbhumi Dwarka,22.2078,69.6582,601.44,21.09,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Gandhinagar,23.2156,72.6369,714.89,7.49,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Gir Somnath,20.9042,70.3644,882.56,0.37,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Jamnagar,22.4707,70.0577,622.11,19.67,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Junagadh,21.5222,70.4579,769.22,2.44,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Kheda,22.6916,72.8634,713.67,8.97,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Kutch (Bhuj),23.242,69.6669,590.22,24.12,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Mahisagar,23.1311,73.6009,714.89,6.23,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Mehsana,23.588,72.3693,707.33,5.14,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Morbi,22.8173,70.8368,663.56,14.69,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Narmada,21.8719,73.5028,726.44,4.38,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Navsari,20.9467,72.952,798.44,0.11,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Panchmahal,22.778,73.6143,700.78,8.64,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Patan,23.8493,72.1266,694.33,8.46,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Porbandar,21.6417,69.6293,563.67,29.66,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Rajkot,22.3039,70.8022,717.78,4.01,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Sabarkantha,23.5977,72.9688,721.11,5.73,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Surat,21.1702,72.8311,716.44,6.75,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Surendranagar,22.7274,71.637,774.67,2.27,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Tapi,21.1147,73.3986,755.56,0.0,No Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Vadodara,22.3072,73.1812,699.22,7.75,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Valsad,20.5992,72.9342,714.56,9.21,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Ahmedabad,23.0225,72.5714,716.56,7.88,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Amreli,21.6032,71.2221,852.44,0.73,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Anand,22.5645,72.9289,693.56,11.02,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Aravalli,23.4619,73.3039,723.89,3.35,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Banaskantha,24.1724,72.4346,683.22,12.07,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Bharuch,21.7051,72.9959,742.33,5.41,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Bhavnagar,21.7645,72.1519,834.89,0.06,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Botad,22.1704,71.6662,852.67,0.3,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Chhota Udepur,22.3108,74.0125,625.44,19.88,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Dahod,22.8347,74.2552,669.0,16.23,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Dang,20.7554,73.6873,701.22,7.69,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Devbhumi Dwarka,22.2078,69.6582,640.11,15.29,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Gandhinagar,23.2156,72.6369,716.56,7.24,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Gir Somnath,20.9042,70.3644,891.44,0.37,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Jamnagar,22.4707,70.0577,655.33,14.69,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Junagadh,21.5222,70.4579,698.44,11.67,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Kheda,22.6916,72.8634,730.33,6.47,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Kutch (Bhuj),23.242,69.6669,575.22,26.37,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Mahisagar,23.1311,73.6009,717.89,5.78,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Mehsana,23.588,72.3693,710.56,4.66,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Morbi,22.8173,70.8368,626.67,20.23,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Narmada,21.8719,73.5028,846.11,0.0,No Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Navsari,20.9467,72.952,711.22,7.42,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Panchmahal,22.778,73.6143,618.56,20.97,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Patan,23.8493,72.1266,664.44,12.94,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Porbandar,21.6417,69.6293,563.56,29.68,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Rajkot,22.3039,70.8022,709.89,5.19,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Sabarkantha,23.5977,72.9688,738.44,3.13,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Surat,21.1702,72.8311,706.33,8.26,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Surendranagar,22.7274,71.637,735.33,5.97,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Tapi,21.1147,73.3986,753.56,0.0,No Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Vadodara,22.3072,73.1812,666.89,12.6,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:30:00,Gujarat,Valsad,20.5992,72.9342,665.56,16.56,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Ahmedabad,23.0225,72.5714,738.22,4.63,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Amreli,21.6032,71.2221,788.89,0.73,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Anand,22.5645,72.9289,724.89,6.32,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Aravalli,23.4619,73.3039,725.78,3.07,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Banaskantha,24.1724,72.4346,670.33,14.0,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Bharuch,21.7051,72.9959,740.11,5.74,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Bhavnagar,21.7645,72.1519,819.22,0.06,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Botad,22.1704,71.6662,821.11,0.3,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Chhota Udepur,22.3108,74.0125,710.56,7.12,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Dahod,22.8347,74.2552,610.89,24.95,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Dang,20.7554,73.6873,690.11,9.36,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Devbhumi Dwarka,22.2078,69.6582,606.33,20.36,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Gandhinagar,23.2156,72.6369,721.67,6.48,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Gir Somnath,20.9042,70.3644,890.56,0.37,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Jamnagar,22.4707,70.0577,621.89,19.7,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Junagadh,21.5222,70.4579,786.33,2.44,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Kheda,22.6916,72.8634,732.56,6.14,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Kutch (Bhuj),23.242,69.6669,572.33,26.8,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Mahisagar,23.1311,73.6009,698.33,8.72,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Mehsana,23.588,72.3693,728.56,1.96,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Morbi,22.8173,70.8368,593.11,25.26,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Narmada,21.8719,73.5028,849.67,0.0,No Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Navsari,20.9467,72.952,644.44,17.44,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Panchmahal,22.778,73.6143,661.44,14.54,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Patan,23.8493,72.1266,656.67,14.11,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Porbandar,21.6417,69.6293,554.33,31.06,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Rajkot,22.3039,70.8022,664.67,11.98,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Sabarkantha,23.5977,72.9688,710.89,7.26,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Surat,21.1702,72.8311,716.67,6.71,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Surendranagar,22.7274,71.637,741.56,5.04,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Tapi,21.1147,73.3986,715.78,3.95,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Vadodara,22.3072,73.1812,652.22,14.8,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:00:00,Gujarat,Valsad,20.5992,72.9342,657.22,17.81,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:30:00,Gujarat,Ahmedabad,23.0225,72.5714,823.0,1.36,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:30:00,Gujarat,Amreli,21.6032,71.2221,852.89,0.73,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:30:00,Gujarat,Anand,22.5645,72.9289,721.67,6.81,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:30:00,Gujarat,Aravalli,23.4619,73.3039,718.11,4.22,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:30:00,Gujarat,Banaskantha,24.1724,72.4346,591.89,25.77,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 01:30:00,Gujarat,Bharuch,21.7051,72.9959,755.33,3.46,Light Rain
